Reference,Author Year,Polymer,Alternate Polymer Names,End Groups,Solvents,Solvent Ratio (wt%),Solvent Ratio (vol%),Stationary Phase,Manufacturer,Base Material,Base Material Modification,Phase,Particle diameter (μm),Pore size (Å),Temperature (Celsius),Flow Rate (mL/min),Injected Polymer Concentration (g/L),Detector,Reference (Raw),Paper DOI,Corresponding Author Name,Corresponding Email Address,Physical Address,Publication Year (Raw),Critical Condition Basis,Critical Condition Confidence,Model Confidences,Qwen Confidence,Mistral Confidence,Analyte Polymer (Raw),Analyte Polymer (Standardized),Critical Component (Raw),Critical Component (Standardized),Architecture (Raw),Architecture (Standardized),Polymer (Raw),Alternate Polymer Names (Parsed from Raw),Polymer Parsing,End Groups (Raw),End Groups (Parsed),Solvents (Raw),Solvents (Standardized),Solvent Qualifiers (Standardized),Solvent Count (Standardized),Solvent Ratio (Raw),Solvent Ratio Units (Raw),Solvent Ratio Components (Standardized),Solvent Ratio Units (Standardized),Solvent Ratio Minimum (Standardized),Solvent Ratio Maximum (Standardized),Stationary Phase (Raw),Manufacturer (Raw),Base Material Source (Raw),Base Material Modification (Raw),Column Name (Raw),Column Mode (Raw),Column Mode (Standardized),Column Dimensions (Raw),Pore Size (Raw),Pore Size (Standardized),Temperature (Raw),Temperature (Standardized),Flow Rate (Raw),Flow Rate (Standardized),Injected Polymer Concentration (Raw),Detector (Raw),Aqueous Parameters (Raw),Aqueous Parameters (Standardized),Evidence Text,Notes
Hiller2007,2007,Polystyrene,PS,,"Acetonitrile, Tetrahydrofuran",,"48, 52",reversed-phase (RP) stationary phase,,,,Reverse,,,22,0.5,,UV detector,Hiller2007.pdf,10.1002/macp.200700166,Wolf Hiller,whiller@dki.tu-darmstadt.de,"German Institute for Polymers, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2007,LCCC at critical conditions of PS,explicit,{},,,"PS, PMMA, PS-b-PMMA",Polystyrene,PS,Polystyrene,block copolymer,block copolymer,"PS, PMMA, PS-b-PMMA",PS-b-PMMA,block,,,"[""ACN"", ""THF""]","[""Acetonitrile"", ""Tetrahydrofuran""]","[null, null]",2,48:52:00,v/v,"[48.0, 52.0]",v/v,,,reversed-phase (RP) stationary phase,,reversed-phase (RP) stationary phase,,Nucleosil C18 300-5 and 1000-7,,,250 x 4 mm inner diameter,,,ambient (22°C),22,0.5 mL/min,0.5,,UV detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The separation of the polymers was achieved at chromatographic conditions that correspond to the critical point of PS and the size-exclusion mode of PMMA. ... The critical conditions correspond to a mobile phase composition of THF–ACN of 48:52 v/v in agreement with ref.[[21]].,Critical conditions for PS were used to separate PS-b-PMMA copolymers and blends of PS and PMMA. Mobile phase ratio of 48:52 THF/ACN was established for these conditions.
Hiller2007,2007,Polystyrene,PS,,"Tetrahydrofuran, Acetonitrile",,"48, 52",C18,,Silica,,Reverse,,,22,0.5,,UV,Hiller2007.pdf,10.1002/macp.200700166,Wolf Hiller,whiller@dki.tu-darmstadt.de,"German Institute for Polymers, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2007,critical point of PS,explicit,{},,,"PS-b-PMMA, PS, PMMA",Polystyrene,PS,Polystyrene,block copolymer,block copolymer,"PS-b-PMMA, PS, PMMA","PS, PMMA",block,,,"[""THF"", ""ACN""]","[""Tetrahydrofuran"", ""Acetonitrile""]","[null, null]",2,48:52:00,v/v,"[48.0, 52.0]",v/v,,,C18,,C18,,Nucleosil RP-18,,,250 x 4 mm,,,22,22,0.5 mL min^-1,0.5,,UV,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",These critical conditions are used for the analysis of blends of PS and PMMA as well as for PS-b-PMMA copolymers.,
Im2008,2008,Polystyrene,PS,,"Acetonitrile, Dichloromethane",,"57, 43",C18,,Silica,,Reverse,,100,33.3,0.5,,UV absorption,Im2008.pdf,10.1021/ma702377f,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea",2008,coelution of linear PS,explicit,{},,,linear PS,Polystyrene,linear PS,Polystyrene,linear,linear,linear PS,,linear,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18,,C18,,Kromasil C18,,,150 × 4.6 mm,100 Å,100,33.3,33.3,0.5 mL/min,0.5,,UV absorption,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical condition was found as 33.3 °C for the 100 Å pore column.,
Im2008,2008,Polystyrene,PS,,"Acetonitrile, Dichloromethane",,"57, 43",C18,,Silica,,Reverse,,500,30.4,0.5,,UV absorption,Im2008.pdf,10.1021/ma702377f,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea",2008,coelution of linear PS,explicit,{},,,linear PS,Polystyrene,linear PS,Polystyrene,linear,linear,linear PS,,linear,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18,,C18,,Nucleosil C18,,,250 × 4.6 mm,500 Å,500,30.4,30.4,0.5 mL/min,0.5,,UV absorption,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical condition was found as 30.4 °C for the 500 Å pore column.,
Im2008,2008,Polystyrene,,,"Acetonitrile, Dichloromethane",,"57, 43",C18 bonded silica,,Silica,,Reverse,,100,33.3,0.5,,UV absorption detector,Im2008.pdf,10.1021/ma702377f,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea",2008,coelution of linear PS standards,explicit,{},,,linear polystyrene,Polystyrene,polystyrene,Polystyrene,linear,linear,linear polystyrene,,linear,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Kromasil C18,,,150 × 4.6 mm,100 Å,100,33.3,33.3,0.5 mL/min,0.5,,UV absorption detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical condition was found as 33.3 °C for the 100 Å pore column... Column: Kromasil C18, 100 Å pore, 5 µm particle, 150 × 4.6 mm. Column temperature: 33.3 °C. Eluent: CH2Cl2/CH3CN (57/43, v/v) at a flow rate of 0.5 mL/min.",Used for 1D-LCCC separation of star-shaped PS at the critical condition of linear PS.
Im2008,2008,Polystyrene,,,"Acetonitrile, Dichloromethane",,"57, 43",C18 bonded silica,,Silica,,Reverse,,500,30.4,0.5,,UV absorption detector,Im2008.pdf,10.1021/ma702377f,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang 790-784, Korea",2008,coelution of linear PS standards,explicit,{},,,linear polystyrene,Polystyrene,polystyrene,Polystyrene,linear,linear,linear polystyrene,,linear,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil C18,,,250 × 4.6 mm,500 Å,500,30.4,30.4,0.5 mL/min,0.5,,UV absorption detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical condition was found as... 30.4 °C for the 500 Å pore column... Column: Nucleosil C18, 500 Å pore, 7 µm particle, 250 × 4.6 mm i.d. Column temperature: 30.4 °C. Eluent: CH2Cl2/CH3CN (57/43, v/v) at a flow rate of 0.5 mL/min.",Used for 1D-LCCC separation of star-shaped PS at the critical condition of linear PS.
Lee2000,2000,Polystyrene,,,"Acetonitrile, Dichloromethane",,"57, 43",C18 bonded silica,,Silica,,Reverse,,100,43,0.5,,,Lee2000.pdf,10.1021/ma000807b,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Center for Integrated Molecular Systems, Pohang University of Science and Technology, Pohang, 790-784, Korea",2000,LCCC at the critical condition of linear PS,explicit,{},,,cyclic polystyrenes,cyclic polystyrenes,linear polystyrene,Polystyrene,cyclic,cyclic,cyclic polystyrenes,,cyclic,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil C18AB,,,250 × 4.6 mm,100 Å,100,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","In LCCC experiments, the column was put in a jacket connected with a bath/circulator so that the column temperature was kept constant at 43 °C. The mobile phase was a mixture of CH2Cl2/CH3CN (57/43, v/v), and the flow rate was 0.5 mL/min.",The setup was used to fractionate cyclic polystyrenes from linear precursors.
Lee2000,2000,Polystyrene,,,"Dichloromethane, Acetonitrile",,"57, 43",C18 bonded silica,,Silica,,Reverse,,100,43,0.5,,,Lee2000.pdf,10.1021/ma000807b,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Center for Integrated Molecular Systems, Pohang University of Science and Technology, Pohang, 790-784, Korea",2000,explicit,explicit,{},,,polystyrene,Polystyrene,linear,linear,null,,polystyrene,,linear,,,"[""CH2Cl2"", ""CH3CN""]","[""Dichloromethane"", ""Acetonitrile""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil C18AB,,,250 × 4.6 mm,100 Å,100,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","In LCCC experiments, the column was put in a jacket connected with a bath/circulator so that the column temperature was kept constant at 43 °C. The mobile phase was a mixture of CH2Cl2/CH3CN (57/43, v/v), and the flow rate was 0.5 mL/min.",
Pasch1993,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,,100,,0.5,,refractive index detector,Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PMMA,explicit,{},,,poly(methyl methacrylate),Poly(methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),diblock copolymer,diblock,poly(methyl methacrylate),,diblock,,,"[""methyl ethyl ketone (MEK)"", ""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200x4mm,100 A,100,,,0.5 ml/min,0.5,,refractive index detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical point of PMMA is obtained at a composition of 73 vol% MEK/27 vol% cyclohexane.,"Initial column system used for B3, B4, B5. UV detection at 280 nm used for selective PS detection."
Pasch1993,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,,,0.5,,ultraviolet/visible photometer (280 nm),Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PMMA in block copolymer analysis,explicit,{},,,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),block copolymer,block copolymer,poly(styrene-b-methyl methacrylate),,block,,,"[""methyl ethyl ketone (MEK)"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,LiChrospher Si-300 and Si-1000,,,200x4mm,,,,,0.5 ml/min,0.5,,ultraviolet/visible photometer (280 nm),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical point for PMMA is obtained at a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane.,
Pasch1993,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,"300.0, 1000.0",,0.5,,UV (280 nm),Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,critical point of adsorption for PMMA block,explicit,{},,,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),diblock copolymer,diblock,poly(styrene-b-methyl methacrylate),,diblock,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,LiChrospher Si-300 and LiChrospher Si-1000,,,self-packed,300 A and 1000 A,"300.0, 1000.0",,,0.5 ml min-1,0.5,,UV (280 nm),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","As can be seen in Figure 4, the critical point for PMMA is obtained at a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane... Figure 5 Chromatograms of the block copolymers... at the critical point of PMMA; LiChrospher Si-300 and Si-1000, MEK-cyclohexane 70:30 vol%.","Second column system used for B1, B2, B3, B4, B5 to avoid exclusion limit issues. UV detection at 280 nm used for selective PS detection."
124,2001,Poly(ethylene glycol),,,"Acetonitrile, Water",,"60, 40",C18,,Silica,,Reverse,,100,68,,,"refractive index detector, UV-visible absorption detector",[124] Lee2001_paper3.pdf,10.1021/ac001219z,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",2001,Retention independent of molecular weight for PEO block,explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,PEO-b-PLLA diblock copolymer,PEO-b-PLLA diblock copolymer,PEO block,PEO block,diblock,diblock,PEO-b-PLLA diblock copolymer,,diblock,,,"[""acetonitrile"", ""water""]","[""Acetonitrile"", ""Water""]","[null, null]",2,60/40,v/v,"[60.0, 40.0]",v/v,,,C18,,C18,,LUNA C18,,,250 x 4.6 mm,100-Å,100,68,68,,,,"refractive index detector, UV-visible absorption detector","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical condition for the analysis of diblock copolymer was a 68 °C column temperature and an ACN/water mixture at the ratio of 60/40 (v/v).,"Critical condition established using PEG standards (Mn: 1500, 3400, and 8000)."
124,2001,Poly(ethylene glycol),,,"Acetonitrile, Water",,"47, 53",C18,,Silica,,Reverse,,100,37,,,"refractive index detector, UV-visible absorption detector",[124] Lee2001_paper3.pdf,10.1021/ac001219z,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",2001,Retention independent of molecular weight for PEO block,explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,PLLA-b-PEO-b-PLLA triblock copolymer,PLLA-b-PEO-b-PLLA triblock copolymer,PEO block,PEO block,triblock,triblock,PLLA-b-PEO-b-PLLA triblock copolymer,,triblock,,,"[""acetonitrile"", ""water""]","[""Acetonitrile"", ""Water""]","[null, null]",2,47/53,v/v,"[47.0, 53.0]",v/v,,,C18,,C18,,LUNA C18,,,250 x 4.6 mm,100-Å,100,37,37,,,,"refractive index detector, UV-visible absorption detector","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","In the analysis for triblock copolymer, two different critical conditions were used (37 °C, ACN:H2O 47:53 (v/v); 54 °C, ACN: H2O 54:46 (v/v)).",First condition used for triblock copolymer with shorter PLLA blocks (Figure 3).
124,2001,Poly(ethylene glycol),,,"Acetonitrile, Water",,"54, 46",C18,,Silica,,Reverse,,100,54,,,"refractive index detector, UV-visible absorption detector",[124] Lee2001_paper3.pdf,10.1021/ac001219z,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",2001,Retention independent of molecular weight for PEO block,explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,PLLA-b-PEO-b-PLLA triblock copolymer,PLLA-b-PEO-b-PLLA triblock copolymer,PEO block,PEO block,triblock,triblock,PLLA-b-PEO-b-PLLA triblock copolymer,,triblock,,,"[""acetonitrile"", ""water""]","[""Acetonitrile"", ""Water""]","[null, null]",2,54/46,v/v,"[54.0, 46.0]",v/v,,,C18,,C18,,LUNA C18,,,250 x 4.6 mm,100-Å,100,54,54,,,,"refractive index detector, UV-visible absorption detector","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","In the analysis for triblock copolymer, two different critical conditions were used (37 °C, ACN:H2O 47:53 (v/v); 54 °C, ACN: H2O 54:46 (v/v)).",Second condition used for triblock copolymer with longer PLLA blocks (Figure 5).
223,2011,Polyisoprene,,,"Methyl Ethyl Ketone, Cyclohexane",,"92, 8",reversed phase C18,,Silica,,Reverse,,100-5,29,0.5,,1H NMR,[223] Hiller2011_paper1.pdf,10.1021/ma102750s,Wolf Hiller,wolf.hiller@tu-dortmund.de,"Faculty of Chemistry, TU Dortmund, Otto-Hahn-Str. 6, 44227 Dortmund, Germany",2011,"critical conditions of 1,4-PI",explicit,"{""qwen"": ""explicit"", ""mistral"": ""explicit""}",explicit,explicit,"polyisoprene (1,4-PI)",Polyisoprene,"1,4-PI","1,4-PI",linear,linear,"polyisoprene (1,4-PI)","1,4-PI",linear,,,"[""butanone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,92:08:00,vol %,"[92.0, 8.0]",v/v,,,reversed phase C18,,reversed phase C18,,Nucleosil C18,,,250 x 4.6 mm i.d.,"100-5, 300-5, 1000-7",100-5,29,29,0.5 mL min^-1,0.5,,1H NMR,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","If the composition of the two solvents is 92/8 vol %, these conditions are obtained for a temperature of 29 C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses.","Samples contained predominantly 1,4-isoprene units (approx 94 mol%) with small amounts of 3,4-isoprene units."
251,2005,EO–PO block copolymers,PO,,"Acetone, Water","92.42, 7.58",,100% poly(divinylbenzene),,,,,,500,25,0.5,,RI,[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",2005,Critical adsorption point (CAP) for PO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,EO–PO block copolymers,EO–PO block copolymers,PO,PO,EO–PO diblock,block copolymer,EO–PO block copolymers,PO,block,,,"[""Acetone"", ""Water""]","[""Acetone"", ""Water""]","[null, null]",2,92.42,wt%,"[92.42, 7.58]",w/w,,,100% poly(divinylbenzene),,100% poly(divinylbenzene),,Jordi Gel DVB 500 RP,,,250 x 4.6 mm,500 Å,500,25,25,0.5 ml/min,0.5,,RI,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","On this column, a CAP for PO is found at about 90% acetone... At a composition close to the CAP for PO... Fig. 2. Chromatograms of PEGs, PPGs, and water, as obtained on the Jordi column in 92.42 wt% acetone (CAP for PO).",Used to analyze EO-PO block copolymers where EO elutes in SEC mode.
251,2005,EO–PO block copolymers,PO,,"Acetone, Water","44.52, 55.48",,silica-based PEG phase,,Silica,,,,120,25,0.5,,RI,[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",2005,Critical adsorption point (CAP) for PO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,EO–PO block copolymers,EO–PO block copolymers,PO,PO,EO–PO diblock,block copolymer,EO–PO block copolymers,PO,block,,,"[""Acetone"", ""Water""]","[""Acetone"", ""Water""]","[null, null]",2,44.52,wt%,"[44.52, 55.48]",w/w,,,silica-based PEG phase,,silica-based PEG phase,,Discovery HS-PEG,,,250 x 4.6 mm,120 Å,120,25,25,0.5 ml/min,0.5,,RI,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","As can be seen in Fig. 4, a CAP for PO was found on the Discovery HS-PEG column... in acetone–water with about 45% (w/w) acetone... Fig. 6. Chromatograms of several poloxamers and PPG 1000, as obtained on the Discovery HS-PEG column in 44.52 wt% acetone.",Used to analyze EO-PO block copolymers where EO elutes in SEC mode. Suitable for shorter PO blocks.
251,2005,Poly(ethylene glycol),,,"Acetone, Water","78.54, 21.46",,silica-based Diol phase,,Silica,,,,100,25,0.5,,RI,[251] Trathnigg2005_paper2.pdf,10.1016/j.polymer.2005.07.048,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",2005,Critical adsorption point (CAP) for EO,explicit,"{""qwen"": ""explicit"", ""mistral"": ""missed""}",explicit,missed,Poly(ethylene oxide),Poly(ethylene glycol),EO,EO,Linear homopolymer,linear,Poly(ethylene oxide),EO,linear,,,"[""Acetone"", ""Water""]","[""Acetone"", ""Water""]","[null, null]",2,78.54,wt%,"[78.54, 21.46]",w/w,,,silica-based Diol phase,,silica-based Diol phase,,Nucleosil 100-5 OH,,,250 x 4.6 mm,100 Å,100,25,25,0.5 ml/min,0.5,,RI,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The desired conditions were now found on a Diol phase in acetone–water with about 80 wt% aetone (Fig. 8): A CAP for EO exists at 78.54% (w/w) acetone. As can be seen in Fig. 9, PPGs elute in SEC mode, and the peaks of all PEGs (from 400 to 12000) coincide precisely.",Used to analyze EO-PO block copolymers where PO elutes in SEC mode.
260,2007,Polystyrene,PS,,"Tetrahydrofuran, Acetonitrile",,"48, 52",C18 (reversed-phase),,Silica,,Reverse,,,22,0.5,,"UV, 1H NMR",[260] Hiller2007.pdf,10.1002/macp.200700166,Wolf Hiller,whiller@dki.tu-darmstadt.de,"German Institute for Polymers, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2007,critical point of adsorption of PS,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PS-b-PMMA,PS-b-PMMA,PS,Polystyrene,block copolymer,block copolymer,PS-b-PMMA,PS,block,,,"[""THF"", ""ACN""]","[""Tetrahydrofuran"", ""Acetonitrile""]","[null, null]",2,48:52:00,v/v,"[48.0, 52.0]",v/v,,,C18 (reversed-phase),,C18 (reversed-phase),,Nucleosil RP-18,,,250 x 4 mm,,,22,22,0.5 mL min-1,0.5,,"UV, 1H NMR","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical conditions correspond to a mobile phase composition of THF–ACN of 48:52 v/v... stationary phase: RP-18 Nucleosil 300 þ 1000; mobile phase THF/ACN 48:52 v/v; flow rate 0.5 mL min 1... at the critical point of adsorption of PS,PMMA elutes in SEC mode while PS is at critical conditions.
260,2007,Polystyrene,PS,,"Tetrahydrofuran, Acetonitrile",,"48, 52",C18,,Silica,,Reverse,,,22,0.5,,UV,[260] Hiller2007.pdf,10.1002/macp.200700166,Wolf Hiller,whiller@dki.tu-darmstadt.de,"German Institute for Polymers, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2007,critical point of adsorption,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PS,Polystyrene,PS,Polystyrene,linear,linear,PS,,linear,,,"[""THF"", ""ACN""]","[""Tetrahydrofuran"", ""Acetonitrile""]","[null, null]",2,48:52:00,v/v,"[48.0, 52.0]",v/v,,,C18,,C18,,Nucleosil RP-18,,,250 x 4 mm,,,22,22,0.5 mL min-1,0.5,,UV,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",These critical conditions are used for the analysis of blends of PS and PMMA as well as for PS-b-PMMA copolymers. Figure 2 shows the critical diagram for using Nucleosil RP-18 columns at ambient temperature (22 8C). The critical conditions correspond to a mobile phase composition of THF–ACN of 48:52 v/v in agreement with ref.[[21]],
260,2007,Poly(methyl methacrylate),PMMA,,"Tetrahydrofuran, Acetonitrile",,"48, 52",C18,,Silica,,Reverse,,,22,0.5,,UV,[260] Hiller2007.pdf,10.1002/macp.200700166,Wolf Hiller,whiller@dki.tu-darmstadt.de,"German Institute for Polymers, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2007,size-exclusion mode,explicit,"{""qwen"": ""missed"", ""mistral"": ""explicit""}",missed,explicit,PMMA,Poly(methyl methacrylate),PMMA,Poly(methyl methacrylate),linear,linear,PMMA,,linear,,,"[""THF"", ""ACN""]","[""Tetrahydrofuran"", ""Acetonitrile""]","[null, null]",2,48:52:00,v/v,"[48.0, 52.0]",v/v,,,C18,,C18,,Nucleosil RP-18,,,250 x 4 mm,,,22,22,0.5 mL min-1,0.5,,UV,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",These critical conditions are used for the analysis of blends of PS and PMMA as well as for PS-b-PMMA copolymers. Figure 2 shows the critical diagram for using Nucleosil RP-18 columns at ambient temperature (22 8C). The critical conditions correspond to a mobile phase composition of THF–ACN of 48:52 v/v in agreement with ref.[[21]],PMMA elutes in SEC mode while PS is at critical conditions.
